preset,delta_omega_tri,k_strong,k_weak,n_runs,r_mean,r_sd,plv_pairmean_mean,plv_pairmean_sd,coalition_mean,coalition_sd,leader_dom_mean,leader_dom_sd,leader_antiphase_dom_mean,leader_antiphase_dom_sd
all_to_all,1.0,-1.2,-0.2,5,0.4871643902748823,0.015870286270886227,0.9413433845243848,0.03628820609949232,0.0941552656616746,0.061303015600093165,-0.02214543147927861,0.07287192510519046,0.2339171189656218,0.5479846347451781
all_to_all,1.0,-1.2,-0.1,5,0.4871643902748823,0.015870286270886227,0.9413433845243848,0.03628820609949232,0.0941552656616746,0.061303015600093165,-0.02214543147927861,0.07287192510519046,0.2339171189656218,0.5479846347451781
all_to_all,1.0,-1.2,0.0,5,0.4871643902748823,0.015870286270886227,0.9413433845243848,0.03628820609949232,0.0941552656616746,0.061303015600093165,-0.02214543147927861,0.07287192510519046,0.2339171189656218,0.5479846347451781
all_to_all,1.0,-1.2,0.1,5,0.4871643902748823,0.015870286270886227,0.9413433845243848,0.03628820609949232,0.0941552656616746,0.061303015600093165,-0.02214543147927861,0.07287192510519046,0.2339171189656218,0.5479846347451781
all_to_all,1.0,-1.2,0.2,5,0.4871643902748823,0.015870286270886227,0.9413433845243848,0.03628820609949232,0.0941552656616746,0.061303015600093165,-0.02214543147927861,0.07287192510519046,0.2339171189656218,0.5479846347451781
all_to_all,1.2,-1.2,-0.2,5,0.5020054561342622,0.008184984582509072,0.9164576502038685,0.06309303133111169,0.13248145952480586,0.0997568520153415,-0.06106917508938412,0.08872825459189491,-0.2258067660339358,0.9219186625002482
all_to_all,1.2,-1.2,-0.1,5,0.5020054561342622,0.008184984582509072,0.9164576502038685,0.06309303133111169,0.13248145952480586,0.0997568520153415,-0.06106917508938412,0.08872825459189491,-0.2258067660339358,0.9219186625002482
all_to_all,1.2,-1.2,0.0,5,0.5020054561342622,0.008184984582509072,0.9164576502038685,0.06309303133111169,0.13248145952480586,0.0997568520153415,-0.06106917508938412,0.08872825459189491,-0.2258067660339358,0.9219186625002482
all_to_all,1.2,-1.2,0.1,5,0.5020054561342622,0.008184984582509072,0.9164576502038685,0.06309303133111169,0.13248145952480586,0.0997568520153415,-0.06106917508938412,0.08872825459189491,-0.2258067660339358,0.9219186625002482
all_to_all,1.2,-1.2,0.2,5,0.5020054561342622,0.008184984582509072,0.9164576502038685,0.06309303133111169,0.13248145952480586,0.0997568520153415,-0.06106917508938412,0.08872825459189491,-0.2258067660339358,0.9219186625002482
all_to_all,1.5,-1.2,-0.2,5,0.5238553466184582,0.009823607832591445,0.8858325138772685,0.07009428330137257,0.18319626467414157,0.11147297131591719,-0.024777802902005507,0.09587321727472774,0.12636239338712302,1.3286796470768991
all_to_all,1.5,-1.2,-0.1,5,0.5238553466184582,0.009823607832591445,0.8858325138772685,0.07009428330137257,0.18319626467414157,0.11147297131591719,-0.024777802902005507,0.09587321727472774,0.12636239338712302,1.3286796470768991
all_to_all,1.5,-1.2,0.0,5,0.5238553466184582,0.009823607832591445,0.8858325138772685,0.07009428330137257,0.18319626467414157,0.11147297131591719,-0.024777802902005507,0.09587321727472774,0.12636239338712302,1.3286796470768991
all_to_all,1.5,-1.2,0.1,5,0.5238553466184582,0.009823607832591445,0.8858325138772685,0.07009428330137257,0.18319626467414157,0.11147297131591719,-0.024777802902005507,0.09587321727472774,0.12636239338712302,1.3286796470768991
all_to_all,1.5,-1.2,0.2,5,0.5238553466184582,0.009823607832591445,0.8858325138772685,0.07009428330137257,0.18319626467414157,0.11147297131591719,-0.024777802902005507,0.09587321727472774,0.12636239338712302,1.3286796470768991
all_to_all,1.8,-1.2,-0.2,5,0.5327392190013621,0.00620002450710165,0.7764450676661857,0.07568431530118826,0.3539380538075993,0.13387429473762566,-0.17368790918379384,0.21632883737615613,-0.019501956422657597,0.9053919153624617
all_to_all,1.8,-1.2,-0.1,5,0.5327392190013621,0.00620002450710165,0.7764450676661857,0.07568431530118826,0.3539380538075993,0.13387429473762566,-0.17368790918379384,0.21632883737615613,-0.019501956422657597,0.9053919153624617
all_to_all,1.8,-1.2,0.0,5,0.5327392190013621,0.00620002450710165,0.7764450676661857,0.07568431530118826,0.3539380538075993,0.13387429473762566,-0.17368790918379384,0.21632883737615613,-0.019501956422657597,0.9053919153624617
all_to_all,1.8,-1.2,0.1,5,0.5327392190013621,0.00620002450710165,0.7764450676661857,0.07568431530118826,0.3539380538075993,0.13387429473762566,-0.17368790918379384,0.21632883737615613,-0.019501956422657597,0.9053919153624617
all_to_all,1.8,-1.2,0.2,5,0.5327392190013621,0.00620002450710165,0.7764450676661857,0.07568431530118826,0.3539380538075993,0.13387429473762566,-0.17368790918379384,0.21632883737615613,-0.019501956422657597,0.9053919153624617
