seed,n_students,dt,t_max,plv_window_seconds,k_ts,k_st,k_ss,r_mean_last,ts_plv_mean_last,ss_plv_mean_last,teacher_dominance_last,ts_distpi_mean_last,ss_distpi_mean_last,teacher_antiphase_dom_last
2,10,0.01,120.0,2.0,-1.2,-0.2,-0.2,0.16244416326977665,0.9969374167172227,0.9934896188015483,0.0034477979156744,1.4731871561884442,1.4499860246885792,-0.023201131499865024
3,10,0.01,120.0,2.0,-1.2,-0.2,-0.2,0.1682900963141441,0.9785286690326463,0.9804955963669308,-0.001966927334284496,1.6734019686792103,1.5259871767718831,-0.1474147919073272
4,10,0.01,120.0,2.0,-1.2,-0.2,-0.2,0.2184206797912805,0.9956401517485538,0.9919349531627916,0.003705198585762237,1.4272243053073335,1.452465120627926,0.025240815320592525
5,10,0.01,120.0,2.0,-1.2,-0.2,-0.2,0.21067991991352908,0.9958269193276805,0.993380098482964,0.0024468208447164796,1.180287150017914,1.6184286457114305,0.43814149569351657
1,10,0.01,120.0,2.0,-1.2,-0.2,0.0,0.5866497009572507,0.9996576050853582,0.9992753262146121,0.0003822788707460445,0.5798777998624023,2.170996384192368,1.5911185843299656
2,10,0.01,120.0,2.0,-1.2,-0.2,0.0,0.22898318396998155,0.995361040723148,0.99170317082382,0.0036578698993280367,1.1974958109570835,1.6927827250614678,0.4952869141043843
3,10,0.01,120.0,2.0,-1.2,-0.2,0.0,0.258311894060107,0.9819194678552019,0.9784176340472542,0.003501833807947663,1.2489590818793088,1.829401677918617,0.5804425960393083
4,10,0.01,120.0,2.0,-1.2,-0.2,0.0,0.42317861486525327,0.9987228086132685,0.9971872513002561,0.001535557313012359,0.8979545866074506,1.9455740351084052,1.0476194485009547
5,10,0.01,120.0,2.0,-1.2,-0.2,0.0,0.3354063942291087,0.9967362074553071,0.995959650556022,0.0007765568992851302,1.506993798523355,1.465405331467939,-0.04158846705541608
1,10,0.01,120.0,2.0,-1.2,0.0,-0.2,0.2692945508748629,0.9988646364775224,0.9975304325482639,0.0013342039292585373,0.9634880908700734,1.7294382990504131,0.7659502081803398
2,10,0.01,120.0,2.0,-1.2,0.0,-0.2,0.15953911679044716,0.9947496655112881,0.9884703717444439,0.006279293766844218,1.1239519565301421,1.570479040684021,0.4465270841538789
3,10,0.01,120.0,2.0,-1.2,0.0,-0.2,0.18809691125932979,0.9707928947715254,0.9819872906749486,-0.011194395903423193,1.548221362384099,1.421947820294858,-0.12627354208924113
4,10,0.01,120.0,2.0,-1.2,0.0,-0.2,0.13609264526196563,0.9962445506905991,0.9932921292430172,0.002952421447581899,1.095432774586489,1.6559705658020438,0.5605377912155549
5,10,0.01,120.0,2.0,-1.2,0.0,-0.2,0.2276402693724665,0.9946814536435854,0.9943173596945054,0.00036409394907999104,1.0399791500016096,1.6519246241906362,0.6119454741890267
1,10,0.01,120.0,2.0,-1.2,0.0,0.0,0.6221342744531605,0.9982100430533363,0.9964902407790259,0.0017198022743103447,0.4701775040237754,2.405403055660233,1.9352255516364576
2,10,0.01,120.0,2.0,-1.2,0.0,0.0,0.21401185639101555,0.9942293911174012,0.9872462698405902,0.006983121276811,1.3996420729847698,1.4868131051732711,0.08717103218850131
3,10,0.01,120.0,2.0,-1.2,0.0,0.0,0.24612110969290726,0.9696815008729571,0.9825749754175165,-0.012893474544559358,2.106826894183328,1.784234794759448,-0.32259209942388023
4,10,0.01,120.0,2.0,-1.2,0.0,0.0,0.3150083075368267,0.995547718636705,0.9917651924327847,0.003782526203920278,1.3221239043348125,1.4936402135799072,0.17151630924509464
5,10,0.01,120.0,2.0,-1.2,0.0,0.0,0.32157661622545014,0.9952517457124255,0.994033043924259,0.0012187017881665207,1.1133408239528906,1.6784265173618527,0.5650856934089621
1,10,0.01,120.0,2.0,-1.0,-0.4,-0.2,0.24176659907304113,0.9984131704505851,0.9971480098944487,0.0012651605561363466,1.2450811052605268,1.5195751152804484,0.2744940100199216
2,10,0.01,120.0,2.0,-1.0,-0.4,-0.2,0.15193266644601858,0.9954131643980084,0.9902984171576897,0.0051147472403186844,1.2870165338378248,1.5315302559422213,0.24451372210439648
