k_ts,k_st,k_ss,n_runs,r_mean,r_sd,ts_plv_mean,ts_plv_sd,ss_plv_mean,ss_plv_sd,teacher_dom_mean,teacher_dom_sd,ts_distpi_mean,ts_distpi_sd,ss_distpi_mean,ss_distpi_sd,teacher_antiphase_dom_mean,teacher_antiphase_dom_sd
-1.0,0.0,-0.2,5,0.19715354098699506,0.06368091214988242,0.9913692565447538,0.011289551330496956,0.9907817547419192,0.006884758709052933,0.0005875018028347556,0.005181577451010913,1.2467645614562455,0.2536181334505701,1.608901214631943,0.1673460051306493,0.36213665317569743,0.40645722459475114
-1.0,0.0,0.0,5,0.3065916257256794,0.14894438623890421,0.9901617703506973,0.01292723620755687,0.9895880770688252,0.00800106346064968,0.0005736932818720452,0.006594128359463443,1.2018363998610841,0.44873982754520814,1.7562193454764692,0.2910153639927553,0.5543829456153849,0.7071649536002549
-0.8,-0.4,-0.2,5,0.17015702297777827,0.06210810137359464,0.9926370492517986,0.008427439624999805,0.9919768975084878,0.004678553234754938,0.0006601517433106219,0.004451469315724556,1.3004040695088301,0.2028348406717322,1.5380847433180687,0.08886203666686938,0.23768067380923852,0.28524401505918373
-0.8,-0.4,0.0,5,0.33117732408801204,0.09381918530194297,0.9883053728071213,0.018676873824161565,0.9907324730147898,0.006967223606741864,-0.00242710020766852,0.012295275995621722,1.0116979096826788,0.3617454086573931,1.8230604536015136,0.297221448825373,0.8113625439188349,0.6344719288948261
-0.8,-0.2,-0.2,5,0.16712063880668057,0.03705828423744459,0.9916870035546165,0.011187342103640474,0.9907606787439466,0.006818483677997352,0.0009263248106698097,0.005080333014820888,1.3030437906710375,0.19856816999732735,1.5561960753210111,0.10184605184606436,0.25315228464997347,0.29778154606763885
-0.8,-0.2,0.0,5,0.3033574877820768,0.1236188042372324,0.9939950113877274,0.006902026890149495,0.9922455530537151,0.005377357435293874,0.0017494583340122328,0.0022267904692820644,1.3072909853776795,0.33386898490466277,1.7163878390233478,0.19062991006742586,0.409096853645668,0.4618279716790828
-0.8,0.0,-0.2,5,0.1905343792687517,0.04198849719560019,0.9910952722025683,0.011302650366142615,0.9901069862793728,0.007225682476432089,0.0009882859231956642,0.004852909467796165,1.3507771694165516,0.19063800379218043,1.568110062510267,0.10719035195644477,0.21733289309371542,0.28616186719538755
-0.8,0.0,0.0,5,0.26381493196759986,0.107554542417553,0.9904920830545695,0.012592771706709254,0.9903760537097804,0.007951824757894086,0.00011602934478900373,0.005434026985368734,1.119890624425841,0.30185918137045314,1.6719120401108174,0.24627135027981728,0.5520214156849763,0.5450779738776617
-0.6,-0.4,-0.2,5,0.1790518973286743,0.01944393986259385,0.991686867813188,0.01065185438188874,0.9916511734550397,0.0050461163750658644,3.569435814827493e-05,0.006400584275101132,1.4208688277327923,0.21096248089728223,1.5186288440203344,0.06948265265159799,0.09776001628754201,0.25914787398312067
-0.6,-0.4,0.0,5,0.2665499605432774,0.0676108703218759,0.9937037258263844,0.006481694161228286,0.9918035576954469,0.005462687820155243,0.0019001681309374074,0.002159445231684762,1.2470636213852153,0.37025129295781506,1.6548953002960238,0.25725237558442365,0.40783167891080874,0.6180045373099047
-0.6,-0.2,-0.2,5,0.16796225093212042,0.0236903935699664,0.9913694003231045,0.011503700212179786,0.9909408061870015,0.00605300693270127,0.0004285941361029888,0.006117183386152986,1.361650290715496,0.22166175271071234,1.5341444719597734,0.0904970488487871,0.17249418124427746,0.30858550752928066
